comment_id|user_id|blog_id|parent_id|content|created_at|updated_at
61|1|13|26|Reply comment 61 to parent 26 on blog 13|2026-03-14T00:39:00|null
62|2|14|27|Reply comment 62 to parent 27 on blog 14|2026-03-15T00:42:00|null
63|3|15|30|Reply comment 63 to parent 30 on blog 15|2026-03-16T00:45:00|null
64|4|16|31|Reply comment 64 to parent 31 on blog 16|2026-03-17T00:48:00|2026-03-17T06:48:00
65|5|17|34|Reply comment 65 to parent 34 on blog 17|2026-03-18T00:51:00|null
66|6|18|35|Reply comment 66 to parent 35 on blog 18|2026-03-19T00:54:00|null
67|7|19|38|Reply comment 67 to parent 38 on blog 19|2026-03-20T00:57:00|null
68|8|20|39|Reply comment 68 to parent 39 on blog 20|2026-03-21T01:00:00|2026-03-21T07:00:00
69|9|21|42|Reply comment 69 to parent 42 on blog 21|2026-03-22T01:03:00|null
70|10|22|43|Reply comment 70 to parent 43 on blog 22|2026-03-23T01:06:00|null
71|11|23|46|Reply comment 71 to parent 46 on blog 23|2026-03-24T01:09:00|null
72|12|24|47|Reply comment 72 to parent 47 on blog 24|2026-03-25T01:12:00|2026-03-25T07:12:00
73|13|1|2|Reply comment 73 to parent 2 on blog 1|2026-03-26T01:15:00|null
74|14|2|3|Reply comment 74 to parent 3 on blog 2|2026-03-27T01:18:00|null
75|15|3|6|Reply comment 75 to parent 6 on blog 3|2026-03-28T01:21:00|null
76|1|4|7|Reply comment 76 to parent 7 on blog 4|2026-03-29T01:24:00|2026-03-29T07:24:00
77|2|5|10|Reply comment 77 to parent 10 on blog 5|2026-03-30T01:27:00|null
78|3|6|11|Reply comment 78 to parent 11 on blog 6|2026-03-01T01:30:00|null
79|4|7|14|Reply comment 79 to parent 14 on blog 7|2026-03-02T01:33:00|null
80|5|8|15|Reply comment 80 to parent 15 on blog 8|2026-03-03T01:36:00|2026-03-03T07:36:00
81|6|9|18|Reply comment 81 to parent 18 on blog 9|2026-03-04T01:39:00|null
82|7|10|19|Reply comment 82 to parent 19 on blog 10|2026-03-05T01:42:00|null
83|8|11|22|Reply comment 83 to parent 22 on blog 11|2026-03-06T01:45:00|null
84|9|12|23|Reply comment 84 to parent 23 on blog 12|2026-03-07T01:48:00|2026-03-07T07:48:00
85|10|13|26|Reply comment 85 to parent 26 on blog 13|2026-03-08T01:51:00|null
86|11|14|27|Reply comment 86 to parent 27 on blog 14|2026-03-09T01:54:00|null
87|12|15|30|Reply comment 87 to parent 30 on blog 15|2026-03-10T01:57:00|null
88|13|16|31|Reply comment 88 to parent 31 on blog 16|2026-03-11T02:00:00|2026-03-11T08:00:00
89|14|17|34|Reply comment 89 to parent 34 on blog 17|2026-03-12T02:03:00|null
90|15|18|35|Reply comment 90 to parent 35 on blog 18|2026-03-13T02:06:00|null
91|1|19|38|Reply comment 91 to parent 38 on blog 19|2026-03-14T02:09:00|null
92|2|20|39|Reply comment 92 to parent 39 on blog 20|2026-03-15T02:12:00|2026-03-15T08:12:00
93|3|21|42|Reply comment 93 to parent 42 on blog 21|2026-03-16T02:15:00|null
94|4|22|43|Reply comment 94 to parent 43 on blog 22|2026-03-17T02:18:00|null
95|5|23|46|Reply comment 95 to parent 46 on blog 23|2026-03-18T02:21:00|null
96|6|24|47|Reply comment 96 to parent 47 on blog 24|2026-03-19T02:24:00|2026-03-19T08:24:00
97|7|1|2|Reply comment 97 to parent 2 on blog 1|2026-03-20T02:27:00|null
98|8|2|3|Reply comment 98 to parent 3 on blog 2|2026-03-21T02:30:00|null
99|9|3|6|Reply comment 99 to parent 6 on blog 3|2026-03-22T02:33:00|null
100|10|4|7|Reply comment 100 to parent 7 on blog 4|2026-03-23T02:36:00|2026-03-23T08:36:00
101|11|5|10|Reply comment 101 to parent 10 on blog 5|2026-03-24T02:39:00|null
102|12|6|11|Reply comment 102 to parent 11 on blog 6|2026-03-25T02:42:00|null
103|13|7|14|Reply comment 103 to parent 14 on blog 7|2026-03-26T02:45:00|null
104|14|8|15|Reply comment 104 to parent 15 on blog 8|2026-03-27T02:48:00|2026-03-27T08:48:00
105|15|9|18|Reply comment 105 to parent 18 on blog 9|2026-03-28T02:51:00|null
106|1|10|19|Reply comment 106 to parent 19 on blog 10|2026-03-29T02:54:00|null
107|2|11|22|Reply comment 107 to parent 22 on blog 11|2026-03-30T02:57:00|null
108|3|12|23|Reply comment 108 to parent 23 on blog 12|2026-03-01T03:00:00|2026-03-01T09:00:00
109|4|13|26|Reply comment 109 to parent 26 on blog 13|2026-03-02T03:03:00|null
110|5|14|27|Reply comment 110 to parent 27 on blog 14|2026-03-03T03:06:00|null
111|1|1|null|Hello|2026-04-06T13:12:41.525007|null
